date,latitude,longitude,stationName,value,previousDate,previousValue,type
2017-02-03,47.0036,-114.4781,"Alberton, Mt",-23.3,1972-02-03,-23.3,low
2017-02-03,47.6,-114.68333,"Hot Springs, Mt",-28.3,1989-02-03,-27.8,low
2017-02-03,19.4918,-155.9117,"Kealakekua 26.2, Hi",12.8,2012-02-03,12.8,low
2017-02-04,37.6664,-77.8769,"Crozier, Va",-15,1981-02-04,-14.4,low
2017-02-07,47.8344,-120.0005,"Chelan, Wa",-13.9,1969-02-07,-12.8,low
2017-02-07,47.20778,-119.31917,"Moses Lake Grant Co Airport, Wa",-17.1,2014-02-07,-17.1,low
2017-02-08,48.4472,-113.2236,"East Glacier, Mt",-31.7,1982-02-08,-27.8,low
2017-02-08,47.8344,-120.0005,"Chelan, Wa",-12.8,1994-02-08,-12.2,low
2017-02-09,47.20778,-119.31917,"Moses Lake Grant Co Airport, Wa",-8.2,1956-02-09,-6.7,low
2017-02-10,42.783,-71.4148,"Hudson 1 Sse, Nh",-19.4,1992-02-10,-19.4,low
2017-02-11,65.12,-146.73,"Little Chena Ridge, Ak",-30,1994-02-11,-28,low
2017-02-11,57.75111,-152.48556,"Kodiak Airport, Ak",-12.7,1996-02-11,-12.2,low
2017-02-12,44.5077,-123.4575,"Corvallis Water Bureau, Or",-5.6,2009-02-12,-5,low
2017-02-12,65.08,-145.87,"Monument Creek, Ak",-37.1,2014-02-12,-36,low
2017-02-12,65.12,-146.73,"Little Chena Ridge, Ak",-31.1,1984-02-12,-31,low
2017-02-12,60.78,-149.18,"Turnagain Pass, Ak",-19.7,1994-02-12,-19,low
2017-02-12,61.07,-149.48,"Indian Pass, Ak",-21.1,1994-02-12,-21,low
2017-02-12,47.20778,-119.31917,"Moses Lake Grant Co Airport, Wa",-10.5,1959-02-12,-9.4,low
2017-02-13,47.8344,-120.0005,"Chelan, Wa",-11.1,1959-02-13,-10.6,low
2017-02-13,47.20778,-119.31917,"Moses Lake Grant Co Airport, Wa",-11.6,1952-02-13,-7.8,low
2017-02-14,47.20778,-119.31917,"Moses Lake Grant Co Airport, Wa",-12.7,1964-02-14,-6.7,low
2017-02-14,47.03389,-120.53028,"Ellensburg Bowers Field, Wa",-13.2,1949-02-14,-11.7,low
2017-02-15,21.9591,-159.6759,"Waimea 947, Hi",12.8,1996-02-15,12.8,low
2017-02-20,55.22083,-162.7325,"Cold Bay Airport, Ak",-21,1982-02-20,-16.1,low
2017-02-22,37.3436,-121.6425,"Mount Hamilton, Ca",-3.3,1996-02-22,-3.3,low
2017-02-22,43.9281,-123.8903,"Goodwin Peak Oregon, Or",-0.6,2007-02-22,-0.6,low
2017-02-23,38.9072,-121.0838,"Auburn, Ca",-0.6,1955-02-23,-0.6,low
2017-02-23,39.5091,-123.7566,"Fort Bragg 5 N, Ca",-0.6,1974-02-23,-0.6,low
2017-02-23,39.523,-122.3058,"Willows 6 W, Ca",-1.1,1951-02-23,-1.1,low
2017-02-23,47.8344,-120.0005,"Chelan, Wa",-7.2,1980-02-23,-7.2,low
2017-02-23,45.9481,-120.6669,"Satus Pass 2 Ssw, Wa",-8.3,1977-02-23,-8.3,low
2017-02-23,40.2569,-124.2661,"Cooskie Mountain California, Ca",-3.3,2008-02-23,-1.7,low
2017-02-23,41.9919,-123.6036,"Crazy Peak California, Ca",-6.1,2007-02-23,-6.1,low
2017-02-23,41.92,-119.495,"Catnip Mountain Nevada, Nv",-15,2015-02-23,-11.7,low
2017-02-23,43.9247,-119.5944,"Allison Oregon, Or",-14.4,2015-02-23,-13.9,low
2017-02-23,42.7,-124.0333,"Bald Knob Lookout Oregon, Or",-5.6,1996-02-23,-4.4,low
2017-02-23,42.5769,-121.8936,"Chiloquin Oregon, Or",-7.8,2015-02-23,-7.8,low
2017-02-23,43.4158,-122.5772,"Grandad Oregon, Or",-2.8,2008-02-23,-2.8,low
2017-02-23,42.2056,-121.1389,"Gerber Reservoir Oregon, Or",-11.1,2007-02-23,-10.6,low
2017-02-23,42.6261,-117.395,"Grassy Mountain Oregon, Or",-10,2015-02-23,-9.4,low
2017-02-23,42.2167,-124.0333,"Quail Prairie Lookout Oregon, Or",-4.4,1993-02-23,-4.1,low
