date,latitude,longitude,stationName,value,previousDate,previousValue,type
2017-02-01,31.483,-111.5436,"Sasabe, Az",23.3,1996-02-01,23.3,high
2017-02-01,33.7092,-93.5563,"Hope 3 Ne, Ar",25,2016-02-01,24.4,high
2017-02-01,34.9553,-93.1594,"Nimrod Dam, Ar",25.6,1989-02-01,23.3,high
2017-02-01,40.155,-103.1416,"Akron 4 E, Co",17.8,1997-02-01,17.8,high
2017-02-01,37.0158,-102.5549,"Campo 7 S, Co",23.9,1997-02-01,23.3,high
2017-02-01,32.9027,-90.3816,"Yazoo City 5 Nne, Ms",25.6,2016-02-01,25.6,high
2017-02-01,34.13333,-94.7,"Broken Bow Dam, Ok",23.9,1989-02-01,23.9,high
2017-02-01,35.86667,-95.23333,"Fort Gibson Dam, Ok",23.3,1974-02-01,21.7,high
2017-02-01,35.95,-96.28333,"Heyburn Dam, Ok",22.2,2012-02-01,21.1,high
2017-02-01,33.93361,-94.82778,"Idabel, Ok",25.6,2016-02-01,25.6,high
2017-02-01,35.6,-95.05,"Tenkiller Ferry Dam, Ok",23.9,1974-02-01,21.1,high
2017-02-01,31.6163,-94.643,"Nacogdoches, Tx",25,2002-02-01,25,high
2017-02-01,33.148,-95.6269,"Sulphur Springs, Tx",25,1967-02-01,25,high
2017-02-01,33.3038,-94.1584,"Wright Patman Dam And Lake, Tx",25,2016-02-01,24.4,high
2017-02-01,70.3289,-149.6114,"Kuparuk, Ak",-3.9,2014-02-01,-5.6,high
2017-02-01,38.6319,-112.0611,"Signal Peak Monroe 5 E Utah, Ut",10.6,1995-02-01,10.4,high
2017-02-01,37.8,-107.92,"Lizard Head Pass, Co",9.1,2003-02-01,8.3,high
2017-02-01,39.14,-111.56,"Beaver Dams, Ut",13.2,1998-02-01,13.2,high
2017-02-01,34.8842,-82.2209,"Grnvl Spart International Airport, Sc",22.2,2002-02-01,21.7,high
2017-02-01,28.8614,-96.9303,"Victoria Regional Airport, Tx",28.3,1963-02-01,27.2,high
2017-02-01,29.95056,-94.02056,"Port Arthur Se Tx Regional Airport, Tx",26.1,2015-02-01,26.1,high
2017-02-01,29.63806,-95.28194,"Houston William P Hobby Airport, Tx",27.2,1989-02-01,27.2,high
2017-02-01,29.2733,-94.8592,"Galveston Scholes Field, Tx",23.9,1950-02-01,22.8,high
2017-02-01,27.5,-97.81667,"Kingsville Naas, Tx",31.1,1989-02-01,31.1,high
2017-02-01,29.3601,-99.1742,"Hondo Municipal Airport, Tx",29.4,2016-02-01,29.4,high
2017-02-01,30.1831,-97.6799,"Austin Bergstrom International Airport, Tx",28.3,1963-02-01,28.3,high
2017-02-01,35.61694,-106.08889,"Santa Fe Co Municipal Airport, Nm",15.6,2003-02-01,14.4,high
2017-02-01,35.4344,-119.0542,"Bakersfield Airport, Ca",22.8,1976-02-01,22.8,high
2017-02-01,35.6875,-117.6931,"China Lake Naf, Ca",32.2,1995-02-01,28.9,high
2017-02-02,35.093,-93.9258,"Booneville, Ar",22.8,1997-02-02,22.2,high
2017-02-02,36.465,-118.8619,"Three Rivers Edison Ph 1, Ca",22.2,2000-02-02,22.2,high
2017-02-02,40.4883,-106.8233,"Steamboat Springs, Co",10.6,1934-02-02,10,high
2017-02-02,35.6413,-106.3322,"Cochiti Dam, Nm",17.8,1995-02-02,17.2,high
2017-02-02,33.3502,-105.14,"Picacho, Nm",23.3,1995-02-02,23.3,high
2017-02-02,35.4111,-80.5834,"Concord, Nc",23.9,1989-02-02,22.8,high
2017-02-02,35.1072,-82.6255,"Caesars Head, Sc",18.3,1986-02-02,18.3,high
